-------------- Setting 1 --------------
----Servernumber Test 1----
Experiment 0 + [ mECGreedyVoteCost: 2.5 ,mGACost_1: 2 ,mGACost_0: 2 ,mECGreedyDegreeCost: 2.333 ,cplexcosts: 2 ]
Experiment 1 + [ mECGreedyVoteCost: 2.333 ,mGACost_1: 1 ,mGACost_0: 1 ,mECGreedyDegreeCost: 2.5 ,cplexcosts: 4 ]
Experiment 2 + [ mECGreedyVoteCost: 3 ,mGACost_1: 2 ,mGACost_0: 2 ,mECGreedyDegreeCost: 3 ,cplexcosts: 6.5 ]
Experiment 3 + [ mECGreedyVoteCost: 2.333 ,mGACost_1: 2 ,mGACost_0: 2 ,mECGreedyDegreeCost: 2.333 ,cplexcosts: 8.5 ]
Experiment 4 + [ mECGreedyVoteCost: 2.333 ,mGACost_1: 1 ,mGACost_0: 1 ,mECGreedyDegreeCost: 2.5 ,cplexcosts: 10.5 ]
Experiment 5 + [ mECGreedyVoteCost: 2 ,mGACost_1: 2 ,mGACost_0: 2 ,mECGreedyDegreeCost: 2 ,cplexcosts: 12.5 ]
Experiment 6 + [ mECGreedyVoteCost: 2 ,mGACost_1: 2 ,mGACost_0: 2 ,mECGreedyDegreeCost: 2 ,cplexcosts: 14.5 ]
Experiment 7 + [ mECGreedyVoteCost: 2.333 ,mGACost_1: 2 ,mGACost_0: 2 ,mECGreedyDegreeCost: 2 ,cplexcosts: 16.5 ]
Experiment 8 + [ mECGreedyVoteCost: 2.667 ,mGACost_1: 2 ,mGACost_0: 2 ,mECGreedyDegreeCost: 2.5 ,cplexcosts: 19 ]
Experiment 9 + [ mECGreedyVoteCost: 2.5 ,mGACost_1: 2 ,mGACost_0: 2 ,mECGreedyDegreeCost: 2 ,cplexcosts: 21 ]
ServersNumber:10  Density:1  Hops:2  [votecosts, GAcosts_1, cplexcosts, degreecosts, GAcosts_0] : [2.4, 1.8, 2.1, 2.317, 1.8]


Experiment 0 + [ mECGreedyVoteCost: 3.333 ,mGACost_1: 3 ,mGACost_0: 3 ,mECGreedyDegreeCost: 4.5 ,cplexcosts: 3 ]
Experiment 1 + [ mECGreedyVoteCost: 3.333 ,mGACost_1: 3 ,mGACost_0: 3 ,mECGreedyDegreeCost: 4 ,cplexcosts: 6 ]
Experiment 2 + [ mECGreedyVoteCost: 3.667 ,mGACost_1: 3 ,mGACost_0: 3 ,mECGreedyDegreeCost: 4.5 ,cplexcosts: 9.5 ]
Experiment 3 + [ mECGreedyVoteCost: 3.667 ,mGACost_1: 3 ,mGACost_0: 3.5 ,mECGreedyDegreeCost: 4.667 ,cplexcosts: 13 ]
Experiment 4 + [ mECGreedyVoteCost: 2.667 ,mGACost_1: 2 ,mGACost_0: 2 ,mECGreedyDegreeCost: 4.333 ,cplexcosts: 15.5 ]
Experiment 5 + [ mECGreedyVoteCost: 3.667 ,mGACost_1: 3 ,mGACost_0: 3 ,mECGreedyDegreeCost: 4.5 ,cplexcosts: 19 ]
